Date,Max_Temperature_C,Mean_Temperature_C,Min_Temperature_C,Precipitation_MM
01-01-2013,-0.8,-3.7,-6.6,0
01-02-2013,-1.2,-3.3,-5.3,0
01-03-2013,-0.6,-3.7,-6.8,0
01-04-2013,0.2,-0.9,-1.9,0
01-05-2013,2.5,1.2,-0.2,
01-06-2013,3,-0.3,-3.5,
01-07-2013,2.1,-1.9,-5.8,0
01-08-2013,3.1,1.6,0.1,
01-09-2013,7.4,3.9,0.4,0
01-10-2013,5.7,3.5,1.3,0
01-11-2013,6.5,4.9,3.3,3.4
01-12-2013,10.3,6.6,2.9,0
01-13-2013,14.1,9.6,5.1,33.1
01-14-2013,5.4,1.5,-2.4,1.3
01-15-2013,1.3,-1,-3.3,0
01-16-2013,3.7,0.6,-2.5,0
01-17-2013,2.2,-3.6,-9.4,0
01-18-2013,2.3,-4,-10.2,0
01-19-2013,7.3,4.8,2.3,0
01-20-2013,7.2,0,-7.2,0.5
01-21-2013,-5.1,-7.8,-10.4,0
01-22-2013,-10.3,-11.9,-13.5,0
01-23-2013,-8.7,-12.6,-16.5,0
01-24-2013,-8.9,-11.2,-13.5,0
01-25-2013,-7.1,-9.7,-12.2,0
01-26-2013,-2.9,-5.5,-8.1,1
01-27-2013,-0.6,-6.3,-12,0
01-28-2013,3.3,1,-1.4,10.6
01-29-2013,4.5,2.8,1,16.9
01-30-2013,9.5,7,4.4,1.4
01-31-2013,6.8,0.7,-5.5,1
02-01-2013,-5,-6.8,-8.5,0
02-02-2013,-4.4,-6.4,-8.4,0
02-03-2013,-4.4,-6.9,-9.4,0
02-04-2013,-3.9,-7.4,-10.8,0
02-05-2013,-2.5,-6.6,-10.7,0
02-06-2013,-2.1,-4.3,-6.5,0
02-07-2013,-0.8,-3.2,-5.5,0
02-08-2013,-4,-6.2,-8.4,0.3
02-09-2013,-2.4,-6.6,-10.8,0
02-10-2013,2.3,-4.4,-11.1,0
02-11-2013,6.9,4.2,1.4,6.8
02-12-2013,2.5,1,-0.6,0
02-13-2013,1,-0.9,-2.7,0
02-14-2013,2.7,0.2,-2.4,3.3
02-15-2013,2.9,-1.2,-5.3,0
02-16-2013,-2.3,-4.6,-6.9,0
02-17-2013,-6.9,-10,-13,0
02-18-2013,1.8,-5.3,-12.3,0.3
02-19-2013,4.5,0.4,-3.8,10.6
02-20-2013,-3.7,-5.1,-6.4,0
02-21-2013,-3.1,-7.4,-11.6,0
02-22-2013,2.4,-2.4,-7.2,0.5
